category_l1,brand,age_group,age_bucket_primary_filled,desc_age_bucket,desc_age_confidence,weight_age_bucket,weight_age_confidence,kg_lo,kg_hi,kg_mid,age_bucket_enriched,age_source_enriched,age_bucket_final,age_source_final,description_merged
Phụ kiện,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Konbini,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩmTên sản phẩm: Khay ăn trẻ em 3 ngăn kèm khay để cốc và để thìa dĩaSản xuất tại: Nhật BảnKích thước sản phẩm: 21 x 21 x 4.5 (cm)Chất liệu: Nhựa PP an toàn, nhựa PP cao cấp không độc hạiKhay ăn trẻ em 3 ngăn kèm khay để cốc và để thìa dĩa là khay ăn dành cho bé ăn dặm của thương hiệu uy tín đến từ Nhật Bản. Sản phẩm được làm từ chất liệu nhựa PP cao cấp, an toàn tuyệt đối cho sức khỏe bé, với thiết kế nhiều ngăn tiện lợi giúp mẹ dễ dàng sắp xếp đồ ăn mà vẫn giữ vệ sinh sạch sẽ.Khay ăn trẻ em 3 ngăn - Thiết kế tiện lợi cho bé ăn dặm gọn gàngKhay ăn thiết kế dạng tròn với đường kính 21cm nhỏ gọn, dễ dàng cho bé cầm bưng và di chuyển khi ăn. Sản phẩm có 3 ngăn nhỏ rộng, sâu vừa phải, giúp mẹ có thể đựng được nhiều món đa dạng cho bé yêu trong mỗi bữa ăn. Thiết kế này cũng giúp hạn chế tình trạng bé làm đổ, vương vãi thức ăn khi tự ăn.Khay đựng cốc và khay để thìa dĩa - Giữ vệ sinh, gọn gàng trong bữa ănPhần khay để cốc có lòng sâu và rộng giúp cố định cốc chắc chắn, tránh tình trạng đổ, sặc nước khi bé ăn. Ngoài ra, khay còn có ngăn nhỏ để đựng thìa và dĩa giúp bé giữ dụng cụ luôn sạch sẽ, gọn gàng sau khi sử dụng, tiện lợi cho mẹ trong việc sắp xếp và vệ sinh.Chất liệu nhựa PP cao cấp - An toàn cho sức khỏe và dễ vệ sinhKhay ăn được làm từ nhựa PP cao cấp, không độc hại nên tuyệt đối an toàn với sức khỏe của trẻ nhỏ. Bề mặt khay nhẵn, mịn dễ dàng chống bám bẩn, giúp mẹ thuận tiện khi vệ sinh sau mỗi lần sử dụng, tiết kiệm thời gian và duy trì sự sạch sẽ cho bé.Hướng dẫn sử dụngTrước khi sử dụng lần đầu, rửa sạch khay với nước ấm và xà phòng nhẹ để đảm bảo vệ sinh.Sắp xếp thức ăn cho bé vào từng ngăn, ngăn cốc và ngăn để thìa dĩa một cách gọn gàng.Sử dụng khay để tập cho bé tự ăn, giúp bé phát triển kỹ năng ăn uống độc lập.Sau khi sử dụng, rửa sạch khay với nước và chất tẩy rửa an toàn, để ráo trước khi cất giữ.Hướng dẫn bảo quảnVệ sinh khay ngay sau khi sử dụng để tránh thức ăn bám dính lâu ngày.Không dùng các vật dụng có cạnh sắc để cọ rửa khay nhằm tránh trầy xước bề mặt.Để khay nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp kéo dài gây biến dạng sản phẩm.Không dùng trong lò vi sóng hoặc lò nướng để đảm bảo an toàn và kéo dài tuổi thọ sản phẩm.Lưu ýChỉ sử dụng sản phẩm cho mục đích đựng thức ăn trẻ em, không dùng cho các vật liệu nóng trên 100°C.Đảm bảo kiểm tra khay trước mỗi lần sử dụng để phát hiện các dấu hiệu hư hỏng, nứt vỡ.Giữ sản phẩm xa tầm tay trẻ nhỏ khi không sử dụng để tránh nguy cơ va chạm, gây tổn thương.Thành phầnNhựa PP (Polypropylene) cao cấp an toàn cho sức khỏe trẻ em"
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Hóa mỹ phẩm gia đình,Clear,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Dầu Gội CLEAR Bạc Hà Mát Lạnh Sạch Gàu (chai 880g)         Thương hiệu: Clear         Giá: Giá đã bao gồm thuế và phí vận chuyển.         Công dụng: Giúp sạch gàu, làm mát da đầu và nuôi dưỡng tóc.         Quy cách: Chai 880g         Xuất xứ thương hiệu: Italy                        Dầu Gội CLEAR Bạc Hà Mát Lạnh Sạch Gàu (chai 880g) là dầu gội dành cho mọi loại tóc của thương hiệu Clear đến từ Italy. Sản phẩm nổi bật với công thức 3X sức mạnh giúp bạn đánh bay gàu, ngứa và vi khuẩn, mang lại cảm giác mát lạnh mỗi khi sử dụng.                     Dầu gội thực sự sạch gàu, mang lại cảm giác mát lạnh           Cảm giác mát lạnh bùng nổ mỗi lần gội nhờ chiết xuất bạc hà, giúp bạn thư giãn và thoải mái, đặc biệt trong thời tiết nóng ẩm.            Công thức 10X sức mạnh đánh bay gàu và ngứa            Với thành phần Vitamin B3 và Glycerin, sản phẩm không chỉ giúp sạch gàu mà còn nuôi dưỡng da đầu khỏe mạnh, mà không để lại cảm giác rít trên tóc.            An toàn, không hóa chất độc hại            Dầu gội CLEAR không chứa hóa chất độc hại, không parabens, nên thích hợp để sử dụng hàng ngày cho mọi loại tóc, mang lại sự an toàn và yên tâm cho người sử dụng.               Hướng dẫn sử dụng               Cho một lượng nhỏ dầu gội vào lòng bàn tay.         Dùng bàn tay xoa nhẹ nhàng lên da đầu.         Gội sạch với nước.                     Lưu ý               Tránh thoa trực tiếp sản phẩm lên vết thương hở.         Tránh xa tầm tay trẻ em.         Nếu sản phẩm dính vào mắt, hãy rửa kỹ với nước sạch.         Nếu có triệu chứng ngứa, hãy ngừng sử dụng và gặp bác sĩ.                     Thành phần               Water         Sodium Laureth Sulfate         Cocamidopropyl Betaine         Zinc Pyrithione         Dimethiconol         Sodium Chloride         Fragrance         Phenoxyethanol         Dimethicone         Carbomer         Menthol         Sodium Salicylate         Guar Hydroxypropyltrimonium Chloride         Citric Acid         Glycerin         Zinc Sulfate         TEA-Dodecylbenzenesulfonate         TEA-Sulfate         Sodium Benzoate         Poloxamer 407         Laureth-23         Sodium Polynaphthalenesulfonate         Helianthus Annuus (Sunflower)"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Vệ sinh,Molped,Không xác định,,,,,,,,,,missing,,missing,"﻿﻿﻿Ưu điểm nổi bật . Từng miếng băng được thiết kế kín, bọc bên ngoài bởi màng bọc mỏng. Trước khi dùng phải tháo màng bọc, dán lên mặt đáy bên trong quần lót, với công dụng chính là thấm hút kinh dịch cho phụ nữ trong thời kì kinh nguyệt. . Sản phẩm mỏng và có cánh để tăng khả năng bảo vệ chống tràn sang 2 bên. Khi cố định miếng băng (và cánh) trên đáy quần lót, miếng băng sẽ nhẹ nhàng ôm theo đường cong người mặcHướng dẫn sử dụng . Bóc lớp màng bọc bảo vệ và dán băng vào đáy quần lót. . Sau khi sử dụng xong, cuộn băng vào bao và bỏ vào sọt rác. . Nên thay băng thường xuyên để đảm bảo vệ sinh.Chú ý: Không bỏ vào bồn vệ sinh sau khi sử dụngHướng dẫn bảo quản Bảo quản sản phẩm nơi khô thoáng, sạch sẽ. Tránh ánh nắng trực tiếpThành phần Vải không dệt, cellulose, polymer siêu thấm, polyethylene, giấy, keo dán, nước hoa (có chứa tinh dầu hoắc hương và bạc hà), lớp bề mặt có 3% bông hữu cơThông tin chi tiết . Chiều dài miếng băng 23cm (+-5mm). Phần sau rộng hơn 10% so với phần trước. Cánh mềm mại và dính chắc﻿﻿﻿﻿﻿﻿﻿"
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Babycare,ConCung Good,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Laluna,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
TPCN,CHEWY VITES,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Animo,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Adidas Altaswim Cq0053 Sandal Bé Trai Animo A2308_JK005 (19-24)         Loại sản phẩm: Sandal         Đối tượng sử dụng: Trẻ em         Thương hiệu: Adidas         Nguồn gốc: đến từ Đức         Điểm nổi bật: Thiết kế thể thao, thoải mái khi đi lại.                        Adidas Altaswim Cq0053 Sandal Bé Trai Animo A2308_JK005 (19-24) là sandal dành cho trẻ em của thương hiệu Adidas đến từ Đức. Thiết kế thể thao, giúp trẻ em di chuyển linh hoạt và thoải mái trong các hoạt động hàng ngày.                              Chất liệu nhẹ Vừa giúp bé thoải mái mà không bị nặng chân.                 Sandal được làm từ chất liệu nhẹ, giúp giảm áp lực cho đôi chân của trẻ trong suốt quá trình di chuyển.               Chống trượt Giúp bé an toàn khi chơi đùa.                 Đế sandal được thiết kế chống trượt, đảm bảo an toàn cho trẻ khi chạy nhảy hoặc đi lại trên bề mặt ướt.               Hướng dẫn chọn size      Để chọn được size sandal phù hợp, mẹ nên đo chiều dài bàn chân của bé và so sánh với bảng size sau:               Size 19: Chiều dài 12.5 cm         Size 20: Chiều dài 13 cm         Size 21: Chiều dài 13.5 cm         Size 22: Chiều dài 14 cm         Size 23: Chiều dài 14.5 cm         Size 24: Chiều dài 15 cm                     Hướng dẫn sử dụng               Đeo sandal vào chân bé sao cho ôm vừa vặn.         Kiểm tra độ chắc chắn của dây sandal trước khi cho bé đi.         Hướng dẫn bé cách đi bộ an toàn với sandal mới.                     Hướng dẫn bảo quản               Vệ sinh sandal bằng nước và xà phòng nhẹ sau khi sử dụng.         Không để sản phẩm dưới ánh nắng trực tiếp trong thời gian dài.         Bảo quản ở nơi khô ráo, thoáng mát khi không sử dụng.                     Lưu ý               Chọn size đúng để đảm bảo sự thoải mái cho bé.         Để xa tầm tay trẻ em khi không sử dụng.                     Thành phần               Chất liệu EVA         Dây sandal bằng nylon         Đế bằng cao su chống trượt"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Hóa mỹ phẩm cho bé,Nước rửa bình sữa Aga-ae,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩmTên sản phẩm:Nước rửa bình sữa AGA-AE hương cam - Túi 1LThương hiệu: AGA-AEXuất xứ thương hiệu: Hàn QuốcThể tích: 1 lítNhà sản xuất: YANG YANG INDUSTRIAL CO., LTD.Công ty nhập khẩu: Công Ty Cổ Phần Con CưngNước rửa bình sữa AGA-AE hương cam - Túi 1L là sản phẩm nước rửa bình sữa dành cho việc làm sạch bình sữa và các vật dụng ăn uống cho bé của thương hiệu AGA-AE đến từ Hàn Quốc. Sản phẩm nổi bật với thành phần làm sạch 100% gốc thực vật, an toàn tuyệt đối cho sức khỏe của bé.Thành phần làm sạch 100% gốc thực vật - An toàn cho sức khỏe béNước rửa bình sữa AGA-AE hương cam được chiết xuất hoàn toàn từ các thành phần thiên nhiên như tinh dầu cam ngọt và chiết xuất hạt bưởi, không chứa hóa chất làm sạch độc hại như những sản phẩm thông thường khác. Nhờ vậy, sản phẩm đảm bảo an toàn tuyệt đối cho làn da nhạy cảm của bé và sức khỏe cả gia đình.Tinh dầu cam - Làm sạch và diệt khuẩn hiệu quả không cần đun sôiVới tinh dầu cam được bổ sung trong công thức, sản phẩm giúp loại bỏ vi khuẩn toàn diện trong bình sữa và các dụng cụ ăn uống cho bé mà không cần phải đun sôi phức tạp, hỗ trợ mẹ tiết kiệm thời gian và công sức vệ sinh hàng ngày.Loại bỏ cặn bẩn và ngăn ngừa bám lại - Giữ dụng cụ sạch lâu dàiSản phẩm nhẹ nhàng lấy đi các chất cặn, vết mỡ và protein bám trên mặt bình sữa cùng các vật dụng của bé, ngăn ngừa sự bám lại của các chất bẩn, giúp bình luôn sạch sẽ và bảo vệ sức khỏe của bé từ những điều nhỏ nhất.Túi 1L tiết kiệm - Nắp vặn tiện lợi dễ dùngTúi nước rửa bình sữa dung tích 1 lít giúp tiết kiệm và sử dụng lâu dài. Nắp vặn tiện lợi dễ dàng đóng mở, tránh đổ tháo không cần thiết, phù hợp với nhu cầu vệ sinh bình sữa thường xuyên của các mẹ.Hướng dẫn sử dụngCho vừa đủ lượng dung dịch nước rửa bình sữa AGA-AE hương cam vào bông tẩy rửa cộng với một ít nước.Chùi rửa bình sữa cũng như các dụng cụ ăn uống, đồ chơi, phụ kiện máy hút sữa của bé.Sau khi làm sạch, rửa lại các dụng cụ bằng nước sạch từ 2 đến 3 lần để đảm bảo không còn chất tẩy rửa.Hướng dẫn bảo quảnĐể nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp để giữ chất lượng sản phẩm.Để xa tầm tay trẻ em; không được uống.Sau khi sử dụng, rửa tay sạch với nước để bảo vệ da.Lưu ýĐể xa tầm tay trẻ em và không được uống;Sau khi sử dụng, cần rửa tay sạch với nước để bảo vệ làn da;Thành phầnChiết xuất từ các thành phần thiên nhiênTinh dầu cam ngọtChiết xuất hạt bưởiDễ phân hủy về mặt sinh học"
Phụ kiện,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Băng đô CF A059062 Hồng cam         Thương hiệu: CF         Nhà sản xuất: Hộ Kinh Doanh Con Gái Yêu         Sản xuất tại: Việt Nam         Chất liệu: Polyester, PU, Vải                        Băng đô CF A059062 Hồng cam là phụ kiện tóc dành cho các bé gái của thương hiệu CF. Sản phẩm nổi bật với chất liệu cao cấp, thiết kế dễ thương và an toàn cho bé.                        Chất liệu cao cấp an toàn           Sản phẩm được làm từ chất liệu cao cấp không gây đau đầu cũng như ảnh hưởng kích ứng với làn da mỏng manh của bé khi sử dụng. Bên cạnh đó, sản phẩm được thiết kế cẩn thận đến từng chi tiết, tỉ mỉ trong việc chọn những chất liệu an toàn cho sức khỏe của bé, để có thể đem đến sản phẩm vừa có tính thẩm mỹ cao vừa đảm bảo an toàn tuyệt đối cho bé yêu.            Thiết kế dễ thương, màu sắc bắt mắt           Thiết kế ấn tượng làm điểm nhấn nổi bật trên sản phẩm, màu sắc cực đẹp, thiết kế tỉ mỉ từng chi tiết, giúp bé xinh nhưng rất thoải mái và an toàn, dễ cài, dễ tháo gỡ. Sản phẩm chắc chắn sẽ tôn lên vẻ đáng yêu xinh xắn của các bé gái.               Hướng dẫn sử dụng               Đeo băng đô lên đầu bé.         Đảm bảo băng đô không quá chật hoặc quá lỏng.         Tháo ra nhẹ nhàng khi không sử dụng.                     Hướng dẫn bảo quản               Không giặt máy.         Không giặt bằng nước nóng quá 30C.         Không sử dụng thuốc tẩy, bàn ủi.                     Lưu ý               Kiểm tra băng đô trước khi cho bé sử dụng.         Bảo quản sản phẩm nơi khô ráo.         Tránh xa tầm tay của bé khi không sử dụng.                     Thành phần               Polyester         PU         Vải"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Vệ sinh,UUCare,Không xác định,,,,,,,,,,missing,,missing,"Tên sản phẩm: BVS thảo dược UUCare ban ngày 24cm (12 miếng)
Thương hiệu: UUCare
Danh mục: Đồ dùng Mẹ & Bé
Từ khóa: null"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho gia đình,Datino,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Kiwigarden,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Tuyết Mai,Không xác định,,,,,,,,,,missing,,missing,"Hộp Búp Bê Thời Trang LH029 (TM) là sản phẩm hàng chất lượng tốt, gồm bộ búp bê cô dâu và chú rể xinh đẹp sẽ làm các bé thích mê và hóa thân vào nhân vật. Ngoài ra sản phẩm còn có thêm nhiều phụ kiện như quần áo, đầm váy để bé thỏa trí sáng tạo, thay đổi và phối hợp theo ý thích."
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho bé,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
TPCN,Nature Gift Pharma,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Thực phẩm bảo vệ sức khỏe Wellness Nutrition         Thương hiệu: Nature Gift Pharma         Xuất xứ thương hiệu: Mỹ         Trọng lượng sản phẩm: 565 mg/viên         Nhà sản xuất: VITA OF AMERICA                        **Thực phẩm bảo vệ sức khỏe Wellness Nutrition** là thực phẩm chức năng dành cho người trưởng thành của thương hiệu Nature Gift Pharma đến từ Mỹ. Đây là sự lựa chọn an toàn, đáng tin cậy để chăm sóc và bồi bổ sức khỏe.                              Bồi bổ sức khỏe - Tăng cường miễn dịch, cải thiện chức năng gan                 Sản phẩm giúp cải thiện sức khỏe, tăng cường hệ miễn dịch, đem lại cảm giác ngon miệng và giấc ngủ đủ chất cho người dùng.            Giảm lo âu - Hỗ trợ giấc ngủ an thần           Viên đông trùng hạ thảo Wellness Nutrition có tác dụng an thần, giúp giảm căng thẳng và lo âu, đem lại giấc ngủ êm ái cho người dùng.            Ngăn ngừa lão hóa - Giúp da dẻ trẻ đẹp           Thành phần chiết xuất đông trùng hạ thảo giúp ngăn ngừa lão hóa, mang lại làn da khỏe mạnh, hồng hào, tươi trẻ cho người sử dụng.               Hướng dẫn sử dụng               Uống 1 viên/lần cùng với bữa ăn.                     Hướng dẫn bảo quản               Bảo quản nơi thoáng mát, tránh ánh nắng trực tiếp.                     Lưu ý               Tránh xa tầm tay trẻ em.         Không sử dụng nếu dấu niêm phong in trên nắp bị vỡ hoặc bị thiếu.         Phụ nữ có thai, cho con bú hoặc đang sử dụng các loại thuốc khác phải xin ý kiến bác sĩ trước khi sử dụng.         Dừng uống và xin ý kiến bác sĩ nếu mẫn cảm với bất cứ thành phần nào của sản phẩm.                     Thành phần               525mg đông trùng hạ thảo (Cordycep Sinensis)         Cám gạo         Gelatin         Magnesium Stearate vừa đủ 1 viên"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Hóa mỹ phẩm cho bé,Pureen,Không xác định,,,,,,,,,,missing,,missing,"﻿﻿Sữa tắm gội Pureen Pro chứa Vitamin B5 và E giúp nhẹ nhàng làm sạch da và chăm sóc tóc cho bé yêu. Ưu điểm nổi bật . Sữa tắm gội Pureen Pro chứa Vitamin B5 và E giúp nhẹ nhàng làm sạch da và chăm sóc tóc cho bé yêu;. Vừa tắm vừa gội, tiện lợi cho cả bé và mẹ;. Thiết kế chai độc đáo dễ cầm ngay cả khi tay ướt, trơn;. Mùi thơm lâu, dễ chịu, tươi mát cả ngày;. Công thức dịu nhẹ không cay mắt phù hợp cho bé yêu;. Công nghệ của Mỹ, đóng gói và sản xuất tại Malaysia;. Dành cho cả mẹ và bé. Hướng dẫn sử dụng. Làm ướt da bé.. Cho 1 lượng sữa tắm vừa đủ ra da, massage nhẹ nhàng làm sạch da và tóc bé.. Tắm sạch bé với nước.. Tránh nhiệt độ cao và ánh sáng trực tiếp.. Để xa tầm tay bé."
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
